step,time,action,action_name,flow_count,latency_ms,path_entropy,knowledge_estimate,mutations,reward,cumulative_reward
1,11:39:28,0,HOLD,26,3.93,0.9249,0.0,0,1.2735,1.2735
2,11:39:31,0,HOLD,36,3.51,0.9529,0.0,0,1.2824,2.5559
3,11:39:33,0,HOLD,36,5.49,0.9529,0.05,0,1.2304,3.7863
4,11:39:35,1,MODERATE,36,13.33,0.9529,0.1,1,0.8725,4.6588
5,11:39:37,0,HOLD,47,4.59,0.924,0.0,1,1.2726,5.9314
6,11:39:39,0,HOLD,47,10.13,0.924,0.05,1,1.2171,7.1485
7,11:39:41,0,HOLD,40,5.09,0.922,0.0,1,1.2715,8.42
8,11:39:43,0,HOLD,44,7.28,0.9034,0.0,1,1.2637,9.6838
9,11:39:45,0,HOLD,44,3.93,0.9034,0.05,1,1.2171,10.9008
10,11:39:47,0,HOLD,40,9.12,0.9202,0.0,1,1.2669,12.1678
11,11:39:50,0,HOLD,40,3.1,0.9202,0.05,1,1.223,13.3908
12,11:39:52,0,HOLD,38,9.06,0.9213,0.0,1,1.2673,14.6581
13,11:39:54,0,HOLD,38,12.02,0.9213,0.05,1,1.2144,15.8724
14,11:39:56,1,MODERATE,38,3.13,0.9213,0.1,2,0.8733,16.7457
15,11:39:58,0,HOLD,58,3.26,0.8541,0.0,2,1.253,17.9987
